id,username,created_at,lng,lat,text
1518288315165913088,bstovalljr,Sun Apr 24 17:58:37 +0000 2022,-87.732013,41.8335845,"@coffeecronin Only if the rich in Ukraine, like their President start using their wealth to help the Ukrainian people first."
1518288459315781635,SKobus01,Sun Apr 24 17:59:11 +0000 2022,-79.2725695,43.629311,.@BarackObama @POTUS @GilTroy @EnesFreedom @vshey You're always welcome to visit... or I can go wherever...? My con… https://t.co/ARGcsRdrpC
1518288814208335873,DouglasELaux,Sun Apr 24 18:00:36 +0000 2022,-93.389864,41.938228499999994,"@lsaeiuthva @StateDept @POTUS Russia and China will not allow this.  Russia's goal is 1) Claim Donbas as a ""victory… https://t.co/UhIWEwBg53"
1518288877991206916,ljubofil,Sun Apr 24 18:00:51 +0000 2022,19.3933045,42.703611499999994,"Since the day one of the war, residents of the Montenegrin Royal Capital  Cetinje walk every evening protesting Rus… https://t.co/fUu4cOqn5d"
1518288887608750081,ColleenPaige1,Sun Apr 24 18:00:53 +0000 2022,-83.1738665,32.6782075,Will celebrate your BDay with you Sir…. 🇺🇸🇺🇦
1518289076025282563,OldDetroitPunk,Sun Apr 24 18:01:38 +0000 2022,-83.3682285,44.478856,Some folk on here... Haven't seen it in my follows... Seen yo be in a hurry for USA to get actively involved in Ukr… https://t.co/1ZumTLh4rr
1518289306070233088,BillShepherd5,Sun Apr 24 18:02:33 +0000 2022,-82.6694675,40.365159500000004,@RSBNetwork The truth is your lying orange ass never stopped WORKING FOR YOU!!FIRST ORDER OF BUSSINESS..BLACKMAILIN… https://t.co/T1xuR70557
1518289404456054785,chrisabraham,Sun Apr 24 18:02:57 +0000 2022,-77.101999,38.8808445,Western weapons hub was hit in Ukraine’s western city of Lvov which sits right by Ukraine’s border with NATO. A sig… https://t.co/OJLVtn9KtQ
1518289474857443328,St33ltoe,Sun Apr 24 18:03:13 +0000 2022,-83.804475,27.698681999999998,This is fascinating.  Our USMC KC-130J simulators practice shooting chaff and flares against threats.   But what ha… https://t.co/VRNdrlZqIh
1518289527982411776,wero_zel,Sun Apr 24 18:03:26 +0000 2022,20.005696,50.046262,May peace finds its forever home in Ukraine 🇺🇦💪
1518289539806154756,LeesRowland,Sun Apr 24 18:03:29 +0000 2022,-2.9967680000000003,53.7577805,Most importantly this is good news for Ukraine.
1518289565538263041,MulcahyA,Sun Apr 24 18:03:35 +0000 2022,-89.559744,37.317093,Media movie sets in Ukraine - Media lies exposed
1518289657536159748,jwoytsek,Sun Apr 24 18:03:57 +0000 2022,-85.488769,39.3372995,"Why Russia keeps losing so many armored vehicles in Ukraine: ""It's finders keepers for these farmers"" https://t.co/wjyoERnhS0"
